dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-poweroff.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/bluetooth.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/fedora-import-state.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rescue.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/sockets.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/runlevel2.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/kexec.target'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/getty.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-user-sessions.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/plymouth-poweroff.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/xl2tpd.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/mcelog.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/lightdm.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/upower.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/ebtables.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rpcbind.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dnf-makecache.timer'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/oddjobd.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/instperf.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/iscsiuio.socket'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-tmpfiles-clean.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/vmtoolsd.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/lvm2-pvscan@.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/plymouth-reboot.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dev-mqueue.mount'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/runlevel1.target'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/system-update.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-halt.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/cups-browsed.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/ipsec.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/time-sync.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/fedora-readonly.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-udevd.service'), dbus.String(u'static')), signature=None)
